strata     NH
440	78301
441	84741
442	121773
443	111689
444	332610
445	86691
446	41608
447	136942
448	122790
449	12203
450	32456
451	12457
452	29236
453	21948
454	42286
455	179821
456	80928
457	68725
458	55765
459	266766
460	113893
461	97792
462	179313
463	25592
464	109910
465	201939
466	19152
470	77962
471	85080
472	105842
473	22456
474	13643
475	13220
476	125248
477	104401
478	19745
480	55506
481	158890
482	88301
483	45082
484	191855
485	134061
490	50930
491	58217
492	92029
493	45167
494	35337
495	49489

